POS,DATA_BELT_REPLACEMENT,DATA_V_BELT_REPLACEMENT,DATA_GEAMOTOR_REPLACEMENT,DATA_MAINTENANCE
22.11.2021,,21.11.2022,02.04.2015,
0202,,,,
1016,,,,
1022,,,,29.03.2022
1036,27.09.2021,,,
1078,,,,1.03.2022
1086,,,,
1088,,,,
2002,,,,26.09.2022
2016,,,,
2026,,22.05.2022,,
9003,,,,
9004,,,,
9010,,,,
9011,,,,
9016,,,,
9040,,,,
9044,,,,
9055,,,,
M9080,,,,
0302,06.09.2021,,,
0400,07.09.2021,,,
0402,,19.09.2022,,19.09.2022
0494,,15.06.2022,,
0498,,15.06.2022,,
0500,4.06.2021,,,
0502,,29.06.2022,,
0600,4.06.2021,,,
0602,,15.06.2022,,12.09.2022
0700,27.09.2021,,,
0702,,15.06.2022,,12.09.2022
1000,,06.06.2022,,
1002,2.06.2021,,,
1010,,15.06.2022,,
1012,,15.06.2022,,
1014,30.08.2021,,,
1018,25.10.2021,,,
1026,,14.02.2022,,
1030,11.10.2021,,,
1034,,15.06.2022,,
1042,,17.03.2022,,
1048,,14.02.2022,,
1058,,02.08.2022,,
1062,,15.06.2022,,
1068,,14.02.2022,,
1070,,07.06.2022,,
1074,,07.06.2022,,12.09.2022
1082,,15.06.2022,,12.09.2022
2000,27.09.2021,,,
2012,,26.09.2022,,
2014,27.09.2021,,,
2018,18.10.2021,,,
2030,06.09.2021,,,
2034,,26.09.2022,,
2036,07.09.2021,,,
2042,,15.06.2022,,
2046,2.06.2021,,,
2048,,19.04.2022,,
2050,12.10.2021,,,
2062,,27.06.2022,,
2068,,15.06.2022,,
2070,,15.06.2022,,
2076,07.09.2021,,,
2082,,04.04.2022,,
9002,19.07.2021,,,
9018,8.03.2022,,06.06.2022,8.03.2022
0100,06.09.2021,,,12.09.2022
0300,,06.06.2022,,12.09.2022
0102,,,,30.12.2021
0204,06.09.2021,,,10.05.2022
0206,,,,01.10.2022
0304,,,,25.10.2021
0496,,,,19.04.2022
1004,,11.02.2022,,02.11.2021
1006,2.06.2021,,,2.06.2021
1008,,,,25.10.2021
1012,,02.11.2021,,02.11.2021
1020,,,,15.03.2022
1024,,,,27.06.2022
1032,9.08.2021,,,22.03.2022
1038,,,,14.02.2022
1040,,,,25.10.2021
1044,17.03.2022,,,23.12.2021
1046,2.06.2021,,,2.06.2021
1066,,,,25.10.2021
1072,13.07.2022,,,23.12.2021
1076,2.06.2021,,,2.06.2021
1084,,,,14.02.2022
2020,,,,26.09.2022
2022,14.06.2021,,,21.02.2022
2024,11.04.2022,,,21.04.2022
2032,,,,23.06.2022
2038,,,,22.02.2022
2040,,,,19.09.2022
2044,07.03.2022,,,23.06.2022
2052,15.08.2022,,,21.02.2022
2054,15.08.2022,,,26.09.2022
2058,30.06.2020,,,21.02.2022
2066,,,,31.01.2022
2074,,15.06.2022,31.01.2022,31.01.2022
2078,,,,21.02.2022
9001,,,,31.08.2022
9006,,,,23.08.2022
9007,,,,19.05.2021
9009,,,,31.08.2022
9013,09.09.2021,,,10.05.2022
9014,,,,29.06.2021
9019,,,,02.12.2021
9033,,,,11.04.2022
9037,,,,18.10.2021
9039,,,,06.12.2021
9041,,,,13.07.2022
9042,,,,13.07.2022
9043,,,,13.07.2022
9051,,,19.04.2022,19.04.2022
9056,,,,15.08.2022
9074,20.09.2021,,20.09.2021,20.09.2021
2072-Drive-Tension-Section,,,,15.08.2022
2072-Feeder-BCi,26.09.2022,,,15.08.2022
9077,,,,19.09.2022
9075,,,,19.09.2022
2084,23.02.2022,,23.02.2022,
